VesselName,LAT,LON,timestamp,sog,heading,width,length,shiptype
Poseidon,49.69701806191564,9.278945782787376,2025-07-05 12:00:00,7.183020593324629,138.18497467240667,6,69,Cargo
Poseidon,49.72032936415717,9.242102551300102,2025-07-05 12:01:00,14.31649929364177,327.25170743963076,11,43,Tanker
Poseidon,49.72159088467775,9.23340566876487,2025-07-05 12:02:00,1.3826557237323889,157.37953997405756,10,140,Tanker
Poseidon,49.723072620070724,9.219329005704846,2025-07-05 12:03:00,11.859017028698549,58.868594130608194,15,57,Tanker
Poseidon,49.75887124546299,9.170232046117802,2025-07-05 12:04:00,11.76825266681211,215.53703283603872,8,39,Fishing
Poseidon,49.753073682841276,9.15332098241672,2025-07-05 12:05:00,8.97555147662806,240.98054452537008,13,286,Cargo
Poseidon,49.72794511010004,9.165035481077123,2025-07-05 12:06:00,14.135544337708916,60.13508684434195,8,150,Fishing
Poseidon,49.751585311606604,9.181415933839304,2025-07-05 12:07:00,9.492617514996278,303.901361628911,16,185,Fishing
Poseidon,49.78841243965793,9.152000054842981,2025-07-05 12:08:00,2.2383923879545575,97.10986014611626,6,49,Tanker
Poseidon,49.742346793724785,9.114211046243984,2025-07-05 12:09:00,9.043980565668706,336.19500631004576,9,190,Cargo
Neptune,39.22327292097588,11.290461660154937,2025-07-05 12:00:00,13.719354719659682,6.25672446677267,13,214,Fishing
Neptune,39.218746906539266,11.292021263012863,2025-07-05 12:01:00,9.776931605138405,240.07113271659756,8,180,Passenger
Neptune,39.182018371921195,11.256375499216803,2025-07-05 12:02:00,18.796395838536835,263.8436106028831,12,158,Fishing
Neptune,39.199278583743705,11.25075052114726,2025-07-05 12:03:00,17.362845087550106,63.773924201058925,6,222,Fishing
Neptune,39.24714171248376,11.23818019786124,2025-07-05 12:04:00,0.3503198172412447,87.89302455205474,14,165,Fishing
Neptune,39.25420268714764,11.191218903830924,2025-07-05 12:05:00,18.618973910139555,248.22963037136202,5,30,Fishing
Neptune,39.298290222781446,11.22390279220211,2025-07-05 12:06:00,13.339430339818145,207.78668521622933,18,249,Tanker
Neptune,39.34823159535851,11.178723996088166,2025-07-05 12:07:00,19.543483684426345,146.48686586023342,17,102,Cargo
Neptune,39.35493322145718,11.202568917013298,2025-07-05 12:08:00,17.57031122602696,145.49051579437187,18,161,Tanker
Neptune,39.34875045609838,11.242706481972142,2025-07-05 12:09:00,17.55782318082655,114.1904580355435,17,158,Passenger
Odyssey,24.826301850802547,8.957500402496496,2025-07-05 12:00:00,12.196636109973891,202.83801384544518,7,122,Cargo
Odyssey,24.83595039830109,8.962069091346043,2025-07-05 12:01:00,8.888389055024032,5.280140536654971,15,139,Tanker
Odyssey,24.84789943290205,8.9584184957261,2025-07-05 12:02:00,7.595715603584596,310.8001138458571,6,146,Cargo
Odyssey,24.832024215664667,8.946438057604686,2025-07-05 12:03:00,7.97645561793801,208.86205292183962,16,257,Fishing
Odyssey,24.8214607480465,8.95137948144773,2025-07-05 12:04:00,14.937514322716455,257.5767265557388,15,50,Fishing
Odyssey,24.814546957200303,8.991050910431744,2025-07-05 12:05:00,1.4256054011032782,343.6776108119907,8,232,Fishing
Odyssey,24.77057369622926,9.034494513112294,2025-07-05 12:06:00,7.032453744792688,36.511498241717945,17,81,Tanker
Odyssey,24.75130269272189,9.064797102895561,2025-07-05 12:07:00,10.783225533505089,112.07077169616132,8,187,Tanker
Odyssey,24.741293213402304,9.112469626761818,2025-07-05 12:08:00,16.463480311913205,188.0931745858026,11,137,Tanker
